"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"ENTREZID"
2.92347452564184e-05	-0.666228154420552	0.507	0.728	0.678918489089805	"1"	"TBC1D5"	"9779"
2.95841682875388e-05	-0.55465856822669	0.973	1	0.687033140141515	"1"	"SORL1"	"6653"
3.76601557412034e-05	-0.270782806466006	0.685	0.944	0.874581796777966	"1"	"C1orf43"	"25912"
3.87085714153387e-05	-0.446605251399208	0.425	0.685	0.89892915397841	"1"	"PRCP"	"5547"
3.87636932856252e-05	-0.582345470512853	0.521	0.779	0.900209249172074	"1"	"FBXL5"	"26234"
3.88833277731712e-05	-0.363373332007318	0.589	0.85	0.902987520876354	"1"	"TUBA4A"	"7277"
4.04913714626805e-05	-0.385208087981644	0.781	0.915	0.940331119477828	"1"	"FAM213A"	NA
4.3687562580754e-05	-0.377382635707931	0.616	0.869	1	"1"	"USP33"	"23032"
4.76681606948027e-05	-0.469466935074248	0.973	1	1	"1"	"ANXA5"	"308"
4.90239005410266e-05	-0.408506056978017	0.521	0.831	1	"1"	"UQCRC2"	"7385"
5.08506422444789e-05	-0.36836861792704	0.671	0.845	1	"1"	"SNX13"	"23161"
5.13146524448421e-05	-0.495110456768085	0.986	0.995	1	"1"	"TTR"	"7276"
5.95967888134529e-05	-0.573391903852914	0.301	0.563	1	"1"	"PGD"	"5226"
6.11101204949638e-05	-0.261539080714679	0.164	0.427	1	"1"	"SOD2"	"6648"
6.43801036327748e-05	-0.350557453599242	0.205	0.484	1	"1"	"LCA5"	"167691"
6.75417135088946e-05	-0.326397734485455	1	1	1	"1"	"RPL3"	"6122"
6.77932872831704e-05	-0.27651319812145	0.411	0.7	1	"1"	"STON2"	"85439"
6.79524888744256e-05	-0.482487642147252	0.479	0.742	1	"1"	"AHSA1"	"10598"
6.89495564150198e-05	-0.501268105839041	0.945	0.991	1	"1"	"IGF1R"	"3480"
6.90900013557302e-05	-0.400356042225143	0.808	0.953	1	"1"	"ARL1"	"400"
7.04296636395563e-05	-0.301202584751152	0.356	0.662	1	"1"	"SYT14"	"255928"
7.06846227805838e-05	-0.630697464710753	0.452	0.746	1	"1"	"MAST3"	"23031"
7.14070061455546e-05	-0.637988969082328	0.425	0.723	1	"1"	"GPM6A"	"2823"
