p_val,avg_logFC,pct.1,pct.2,p_val_adj,symbol
0.188565673427632,0.255130797396791,0.877,0.844,1,VPS13A
0.198363708160636,0.281322541100618,0.828,0.87,1,PURA
0.201584410004439,0.282778443731913,0.607,0.594,1,MLXIP
0.202140675348344,0.258558867738444,0.828,0.807,1,SPEN
0.204076955610351,0.346134773438367,0.557,0.521,1,WNK3
0.204730990249954,0.280923968832779,0.68,0.641,1,MED23
0.210422312779423,0.336742151060936,0.344,0.307,1,NT5DC2
0.215482110789319,0.323208685368492,0.746,0.75,1,DIP2C
0.217073834401664,0.267881935858245,0.549,0.5,1,POLI
0.218002512627207,0.276210454071487,0.402,0.495,1,UBAC2
0.23952296017657,0.308313693794567,0.525,0.516,1,QKI
0.249005907531423,-0.331148987911352,0.861,0.88,1,UNC79
0.251307113589332,-0.412226094265158,0.5,0.526,1,PAPSS1
0.266912720336174,0.30698169413731,0.861,0.839,1,SETD5
0.27376120064901,-0.258869734304337,0.443,0.495,1,GART
0.278076042862084,0.255338552127273,0.418,0.37,1,SLC25A17
0.285101571400104,0.259116056298754,0.852,0.833,1,PRPF4B
0.310858658924904,-0.282025801568356,0.32,0.37,1,QRSL1
0.317641565969194,0.324379347941721,0.639,0.667,1,FAM91A1
0.339162616790099,0.250950825484507,0.992,0.99,1,KTN1
0.339964219333376,0.264542260046197,0.533,0.526,1,RGS16
0.350363366355186,0.303781429644259,0.525,0.667,1,SLC18A2
0.356131664713281,0.266694072864862,0.451,0.568,1,HEATR5A
0.400192007394816,0.420604532474216,0.648,0.667,1,SLC39A10
0.402443253566726,0.283264998032467,0.59,0.62,1,HEATR5B
0.415869423310474,-0.291461682180701,0.656,0.651,1,SF3B3
0.446703675175117,0.292856243129149,0.139,0.109,1,UBXN10
0.448218936250446,0.267450903715167,0.623,0.635,1,RNF141
0.449849188928375,0.282090701110896,0.746,0.771,1,FAM208A
0.451580777420445,-0.258484258035959,0.516,0.521,1,KIAA1191
0.460544031672715,-0.285639382729569,0.172,0.203,1,ECT2
0.464689847040357,0.308393412073383,0.336,0.312,1,JRKL
0.46489205178948,-0.250776929386254,0.459,0.464,1,IRGQ
0.475705958142842,0.34992256802129,0.828,0.839,1,C1orf9
0.483726065140699,0.258124418745306,0.467,0.443,1,PAPOLG
0.494249778612953,0.318852695647268,0.262,0.245,1,SWT1
0.498035769846463,0.327873957327797,0.5,0.516,1,KIAA1279
0.512836253736531,0.325285704808917,0.426,0.417,1,IFT80
0.529101144968274,-0.250198811050732,0.525,0.5,1,LIPA
0.530130178671236,0.377445759329606,0.762,0.807,1,PRNP
0.532821777560123,0.294288917632313,0.475,0.469,1,PAK1
0.537702682443841,0.303975072044716,0.885,0.833,1,USP47
0.547333001645334,0.265165402626362,0.574,0.661,1,PHF10
0.554087782251372,-0.360966382188791,0.566,0.516,1,USP3
0.55711358745579,0.26423193679785,0.508,0.521,1,KIAA0226
0.558500154027894,-0.265396747559318,0.32,0.323,1,C18orf8
0.59049382668094,-0.269147667914667,0.779,0.797,1,ATP2C1
0.601238795375612,-0.313164575859923,0.631,0.615,1,VPS8
0.608676231711449,-0.273881643225785,0.361,0.375,1,TRIB1
0.629765539676278,0.292267393772881,0.541,0.531,1,TTC7B
0.6428881550277,0.272515081049329,0.221,0.26,1,ABLIM2
0.65540398729533,0.265150465303344,0.533,0.531,1,KDM3A
0.661779503892072,0.338424312872035,0.287,0.344,1,APAF1
0.703693575334108,0.252518103925726,0.361,0.37,1,ABCA1
0.709819293149547,-0.277454903515121,0.189,0.198,1,ACAD9
0.715214977032293,-0.290278530820181,0.574,0.568,1,DCAF5
0.726905866637821,-0.301335598097881,0.598,0.615,1,EFR3B
0.73502383053963,0.250924877626126,0.295,0.349,1,GEMIN8
0.752929425024455,0.362901484102331,0.426,0.417,1,FKBP15
0.754404043026129,0.27604411247956,0.402,0.443,1,ACVR1
0.774828209165518,0.302566336202142,0.73,0.724,1,FAM178A
0.785579331824699,-0.370001165494779,0.27,0.26,1,LAS1L
0.802487904136844,0.250817937137202,0.516,0.599,1,TOMM70A
0.805646640044046,0.301527177087678,0.656,0.682,1,PDE5A
0.840566563109587,0.361259389140512,0.189,0.188,1,REG1A
0.845182956319512,0.275402405591077,0.582,0.651,1,SP100
0.849585874894738,0.25398370568434,0.377,0.411,1,TFIP11
0.849981479439501,0.376372008030961,0.508,0.547,1,OGFOD1
0.878497452131853,-0.266977188382095,0.369,0.365,1,FBXO38
0.883690225861437,0.349926823497679,0.426,0.458,1,PUS7L
0.893028966143656,0.32009101789578,0.459,0.521,1,SLC25A46
0.895140503462113,0.256785591596357,0.59,0.641,1,TRAK1
0.907849687091518,0.346632415860356,0.68,0.708,1,RASA1
0.909836810048679,0.293478261348597,0.418,0.432,1,KIAA0196
0.925291908565528,0.279682145689765,0.574,0.651,1,CHD8
0.926619001101059,-0.254080430761619,0.516,0.516,1,DOCK10
0.967997177842416,0.330235770956239,0.598,0.615,1,HIBCH
