name,gene,gene_name,variable,PSI,FDR
CA-3735-3110-6225-6405-8964[INC][66/196][UPT],3735//KARS,KARS(exon2),endo_c4_PSI,0.0603448275862069,5.15878236992721e-09
CA-334-68895-70435-70471-73577[INC][39/147],334//APLP2,APLP2(exon14),endo_c4_PSI,0.0563106796116505,5.09299426645806e-17
CA-65056-43246-50428-50449-59898[INC][7/46],65056//GPBP1,GPBP1(exon3),endo_c4_PSI,0.0417310664605873,4.8261514259656e-05
CA-51447-25189-25454-25585-26038[INC][14/42],51447//IP6K2,IP6K2(exon3),endo_c4_PSI,0.201680672268908,5.40729190883398e-06
CA-4345-3156-5874-5949-10833[INC][10/134][UPT],4345//CD200,CD200(exon2),endo_c4_PSI,0.259259259259259,8.82159682522182e-08
CA-51582-9157-17025-17171-23422[INC][29/820],51582//AZIN1,AZIN1(exon3),endo_c4_PSI,0.0849315068493151,6.45081613271204e-25
CA-10772-11891-12024-12126-15740[INC][2/84][DNT],10772//SRSF10,SRSF10(exon6),endo_c4_PSI,0.27536231884058,0.501508779859992
CA-9643-5988-6429-6478-12507[INC][99/411],9643//MORF4L2,MORF4L2(exon3),endo_c4_PSI,0.275929549902153,0.376865274833586
CA-55892-3398-3966-4033-4200[INC][13/111][UPT],55892//MYNN,MYNN(exon2),endo_c4_PSI,0.262899262899263,6.50151054893303e-06
CA-6396-3125-3510-3666-6080[INC][1/160][UPT],6396//SEC13,SEC13(exon2),endo_c5_PSI,0.114967462039046,0.283995713645743
CA-55744-3113-81829-81930-83889[INC][31/86][UPT],55744//C7orf44,C7orf44(exon2),endo_c5_PSI,0.42320819112628,0.486146239046878
CA-8287-3825-10407-10467-11161[INC][2/1][UPT],8287//USP9Y,USP9Y(exon2),endo_c5_PSI,0.214521452145215,0.00135188699125294
CA-1915-4150-4516-4700-4804[INC][2/3],1915//EEF1A1,EEF1A1(exon3),endo_c5_PSI,0.96078431372549,0.0277029755083144
CA-26065-52292-56961-57018-57918[INC][24/34],26065//LSM14A,LSM14A(exon10),endo_c5_PSI,0.391566265060241,0.0148338760453467
CA-3344-3159-16905-17047-34545[INC][5/13][UPT],3344//FOXN2,FOXN2(exon2),endo_c5_PSI,0.305369127516779,0.532601934084677
CA-22984-4874-5992-6176-6742[INC][1/37],22984//PDCD11,PDCD11(exon2),endo_c5_PSI,0.274725274725275,0.241451295237899
CA-6122-8559-8858-9032-9355[INC][1/6],6122//RPL3,RPL3(exon8),endo_c5_PSI,0.165467625899281,0.012452578355126
CA-55012-3412-8576-8704-14684[INC][110/43],55012//PPP2R3C,PPP2R3C(exon2),endo_c5_PSI,0.756862745098039,1.08418505568023e-18
CA-65979-3244-26260-26360-40828[INC][4/76][UPT],65979//PHACTR4,PHACTR4(exon2),endo_c5_PSI,0.380952380952381,1.00069361958738e-21
CA-155370-3411-4320-4442-5230[INC][29/15][UPT],155370//SBDSP1,SBDSP1(exon2),endo_c5_PSI,0.432314410480349,1.07708255005036e-15
CA-3735-3110-6225-6405-8964[INC][66/196][UPT],3735//KARS,KARS(exon2),endo_c5_PSI,0.243346007604563,0.854114141835847
CA-334-68895-70435-70471-73577[INC][39/147],334//APLP2,APLP2(exon14),endo_c5_PSI,0.318885448916409,8.73057991963774e-10
CA-65056-43246-50428-50449-59898[INC][7/46],65056//GPBP1,GPBP1(exon3),endo_c5_PSI,0.0902004454342984,0.24401335370531
CA-51447-25189-25454-25585-26038[INC][14/42],51447//IP6K2,IP6K2(exon3),endo_c5_PSI,0.179972936400541,0.924972667276152
