p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
1.76245712500395e-23,0.562374457328555,0.965,0.872,4.09295418139667e-19,Beta,SRPRB
3.49245534573169e-23,0.651561569211281,0.959,0.934,8.11052904939271e-19,Beta,FXYD2
4.17631994872713e-23,0.521295606309425,1,0.991,9.69866781692901e-19,Beta,ATRX
3.41739710549217e-22,0.520922933724411,0.994,0.964,7.93622129808446e-18,Beta,PJA2
3.47025764430203e-22,0.729365488586383,0.917,0.833,8.05897932736261e-18,Beta,CNP
1.50211502004535e-21,0.565282897410866,1,0.996,3.48836171105132e-17,Beta,ALDOA
1.58924198789908e-21,0.511224873132918,0.79,0.533,3.69069666849803e-17,Beta,FAM105A
1.68538835416318e-21,0.567536577466576,0.787,0.527,3.91397737487316e-17,Beta,MYT1L
2.47575800336067e-21,0.480463704534888,0.64,0.33,5.74945281120449e-17,Beta,SUSD4
2.7593164299139e-21,0.4926863014001,0.965,0.897,6.40796054518904e-17,Beta,PRDX1
4.81889242795298e-21,0.645477414050973,0.863,0.771,1.11909138854352e-16,Beta,SEMA5A
6.39646638829261e-21,0.517714538168489,0.997,0.968,1.48545138935319e-16,Beta,ALCAM
8.35968015800749e-21,0.486021820495857,0.554,0.236,1.94136852309408e-16,Beta,MPP1
1.42512889280423e-20,0.530499309965903,0.395,0.113,3.30957682775926e-16,Beta,ESR1
1.5250561622174e-20,0.557304340238314,0.99,0.946,3.54163792551747e-16,Beta,RANBP2
1.7131067720696e-20,0.571877976183971,0.857,0.617,3.97834785677724e-16,Beta,KIAA1715
1.79789474380551e-20,0.548949280315818,0.844,0.683,4.17525096353954e-16,Beta,RAPH1
1.87816290513177e-20,0.672123117868699,0.745,0.493,4.3616577145875e-16,Beta,PPM1H
2.51295057529583e-20,0.647086663324723,0.968,0.944,5.83582512100951e-16,Beta,FXYD6-FXYD2
2.19838411021084e-19,0.693304773996998,0.85,0.64,5.10530741914264e-15,Beta,CDCP1
5.55861550588315e-19,0.509280712615213,0.933,0.872,1.29087727893124e-14,Beta,MRPL42
4.77980206319943e-18,0.612656449879724,0.959,0.88,1.1100134331368e-13,Beta,ATP6V1A
1.20488994889737e-17,0.575433361111601,0.777,0.636,2.79811592832436e-13,Beta,IGFBP5
1.98370744437068e-17,0.483590633945465,0.984,0.94,4.60676379806203e-13,Beta,VPS35
2.67207416577057e-17,0.615648169633445,0.908,0.764,6.20535783516899e-13,Beta,DCUN1D4
2.81402048765482e-17,0.522190768068429,0.914,0.754,6.53499977848079e-13,Beta,EFNA5
3.2031602191291e-17,0.640454056053032,0.847,0.76,7.43869897688351e-13,Beta,CCND2
4.66832144547424e-17,0.518532640722689,0.535,0.261,1.08412428928248e-12,Beta,RCBTB2
6.03153686385973e-17,0.652709642699928,0.42,0.163,1.40070380589414e-12,Beta,GRIA4
6.62277128163809e-17,0.580055975038799,0.78,0.57,1.53800617473481e-12,Beta,RNF6
8.74387549999716e-17,0.574691735823201,1,0.989,2.03059020736434e-12,Beta,FTH1
9.12630227191077e-17,0.485831634117952,0.965,0.852,2.11940117660584e-12,Beta,MLXIPL
1.4502216074702e-16,0.587924703708836,0.927,0.846,3.36784963902805e-12,Beta,CACUL1
1.74733663955016e-16,0.529512313136747,0.984,0.974,4.05783987802733e-12,Beta,CDC42BPA
1.95389262243728e-16,0.537852135394125,0.742,0.52,4.5375248370861e-12,Beta,VWDE
2.03981543822704e-16,0.590093340087606,0.519,0.263,4.73706339219466e-12,Beta,GPX2
2.05000271869547e-16,0.562651320402041,0.99,0.951,4.76072131362649e-12,Beta,GOLGB1
8.63170825798475e-16,0.628905762070143,0.946,0.805,2.0045416087518e-11,Beta,TXLNA
2.38912624992237e-15,0.571165293091527,0.987,0.983,5.54826789019473e-11,Beta,ACLY
1.01014665321334e-14,0.503438143988033,0.975,0.955,2.34586357275733e-10,Beta,PTPLAD1
1.33065359239561e-14,0.578566306140562,0.844,0.687,3.09017683762032e-10,Beta,SLC4A10
1.44820510095243e-14,0.522450167412683,0.92,0.814,3.36316670594183e-10,Beta,JKAMP
1.83720577057971e-14,0.55548783786921,0.92,0.805,4.26654296101726e-10,Beta,AP3B1
2.267259459383e-14,0.552571401681947,0.838,0.655,5.26525664252515e-10,Beta,NAV2
2.98091756408473e-14,0.506456192904737,0.994,0.921,6.92258485907396e-10,Beta,PFN2
6.18211263591064e-14,0.546269590168356,0.822,0.745,1.43567201743753e-09,Beta,RAB22A
2.84243755308698e-13,0.50761033754958,0.866,0.782,6.6009927295339e-09,Beta,RNF13
4.23464559993347e-13,0.526366961957553,0.933,0.859,9.83411747672549e-09,Beta,ACAT1
6.45184201337808e-13,0.48442827457995,0.873,0.749,1.49831127076679e-08,Beta,CD200
2.97219494112507e-12,0.486816237747128,0.879,0.764,6.90232831177475e-08,Beta,ENO2
3.36250937428318e-12,0.510768187012077,0.847,0.711,7.80875551989782e-08,Beta,PON2
4.25738040742858e-12,0.581313382508859,0.917,0.85,9.8869145201714e-08,Beta,UBE4A
6.08252655875857e-12,0.478427116070303,0.844,0.683,1.4125451427405e-07,Beta,PRKACB
6.69016782155159e-12,0.61796060134907,0.736,0.58,1.55365767319893e-07,Beta,HSD17B4
8.36921154673568e-12,0.509013394180285,0.694,0.503,1.94358199749843e-07,Beta,TTLL7
1.81476550097985e-11,0.506036416312212,0.755,0.604,4.2144299229255e-07,Beta,ADH5
2.24185378897317e-11,0.483176704842792,1,0.998,5.2062570541324e-07,Beta,PTPRN
2.41940432229524e-11,0.518653216608209,0.796,0.683,5.61858265766625e-07,Beta,CRBN
3.79690990139884e-11,0.530666405901344,0.994,0.953,8.81756386401852e-07,Beta,TTC37
3.95927282358689e-11,0.529788814992639,0.911,0.82,9.19461927821583e-07,Beta,MYCBP2
3.80004711267641e-10,0.502315432774092,0.873,0.762,8.82484940976843e-06,Beta,ST8SIA3
6.47782343384163e-10,0.508420393617262,0.564,0.383,1.50434493604104e-05,Beta,CDKN1A
7.58705482479506e-10,0.583280679050718,0.924,0.861,1.76194174196216e-05,Beta,SLC39A9
8.00824882069063e-10,0.495394677525456,0.959,0.936,1.85975562362899e-05,Beta,IQGAP1
1.45294032220016e-09,0.487287034967763,0.828,0.698,3.37416331024543e-05,Beta,RBFOX2
3.08704552611029e-09,0.480853253619995,0.924,0.891,7.16904582528592e-05,Beta,NBEA
3.15644295446081e-09,0.548044829900512,0.812,0.668,7.33020747314434e-05,Beta,FOCAD
5.92634349494074e-09,0.574308499639419,0.65,0.542,0.000137627474983009,Beta,TMCC1
8.51384863084146e-09,0.487475395118042,0.806,0.739,0.000197717106754031,Beta,EMC2
2.03364676681485e-08,0.50030193385052,0.748,0.67,0.000472273788657412,Beta,DIP2C
6.88076502652542e-08,1.45278917379901,0.354,0.201,0.00159792006211,Beta,SPP1
1.21631637625616e-07,0.500054452521321,0.787,0.732,0.00282465152057968,Beta,SNX13
2.03835349946609e-07,0.488925857057546,0.911,0.874,0.0047336683318101,Beta,CLK1
4.3806876278586e-07,0.484537547091924,0.898,0.85,0.010173270878176,Beta,PSMD1
2.88344238103276e-06,0.504916950803267,0.732,0.677,0.0669621824147238,Beta,CYP4V2
4.994685726264e-05,0.480897695119612,0.701,0.602,1,Beta,MADD
1.63918698000457e-12,0.560741767737261,0.864,0.472,3.80668392366462e-08,Multiple,PLCE1
1.67125241842818e-09,0.262118054108917,0.511,0.211,3.88114949131576e-05,Multiple,ZFP30
1.28843669581704e-07,0.289547971939978,0.682,0.418,0.00299213653869591,Multiple,EGFEM1P
3.98798585079391e-07,0.279175090997407,1,0.654,0.00926129954129869,Multiple,TM4SF4
2.87118326523739e-06,0.517483195830047,0.455,0.238,0.0666774889686078,Multiple,SPP1
7.49857621070844e-06,0.32262152577832,0.841,0.649,0.174139435341282,Multiple,SATB1
2.23026657745328e-05,0.290101697790928,1,0.983,0.517934807281976,Multiple,GCG
2.84975753934525e-05,0.281654569938578,0.602,0.355,0.661799193362147,Multiple,C1orf116
0.000100926712456154,0.258554829216368,0.977,0.889,1,Multiple,NEAT1
0.000109379492012773,0.292566825821148,1,0.996,1,Multiple,TTR
0.000219130107528186,0.635189041266618,0.375,0.199,1,Multiple,NPY
0.000314946000101943,0.259629667961832,0.5,0.319,1,Multiple,LEMD3
0.000590663922833178,0.27954020831943,0.705,0.58,1,Multiple,EPB41L4B
0.000884314061878158,0.270596935715267,0.386,0.232,1,Multiple,ULK2
0.00188158532348277,0.291758182168091,0.716,0.573,1,Multiple,WNK3
2.75335317686049e-98,1.48197465622189,1,0.994,6.39411208262312e-94,Alpha,TTR
3.4988956852537e-94,1.9526946552824,0.993,0.979,8.12548544986468e-90,Alpha,GCG
3.78701284540311e-80,1.33766087266506,0.977,0.338,8.79457993087964e-76,Alpha,GC
1.29768660342503e-77,1.32047672988227,0.947,0.312,3.01361759913394e-73,Alpha,FAP
8.10934251976787e-71,1.38984808002567,0.96,0.525,1.88323261336569e-66,Alpha,TM4SF4
9.78011559970611e-65,0.764649105262643,0.887,0.34,2.27123624571975e-60,Alpha,FXYD5
9.40361013063633e-63,0.410502061439588,0.834,0.219,2.18380038063767e-58,Alpha,IRX2
2.13189192117465e-60,0.720840234501197,0.867,0.315,4.95089260854388e-56,Alpha,PAPPA2
3.28385731761412e-59,1.11906982213371,0.794,0.217,7.62610184869528e-55,Alpha,LOXL4
2.15030703696456e-56,0.840940998625516,1,0.971,4.9936580319428e-52,Alpha,CLU
5.03573419244048e-56,1.04155374913332,0.997,0.917,1.16944855151045e-51,Alpha,GLS
7.10264512789658e-55,0.973497575626427,0.977,0.708,1.64944727805142e-50,Alpha,TMEM176B
5.37675368446342e-53,0.875816935457239,0.774,0.238,1.24864350814294e-48,Alpha,MUC13
1.87551161599469e-52,0.649710277265835,0.89,0.365,4.35550062582448e-48,Alpha,FXYD3
3.18419198387519e-52,0.347488808155886,0.754,0.2,7.39464904415336e-48,Alpha,F10
1.56175105807859e-47,0.443134996168606,0.781,0.235,3.6268544821759e-43,Alpha,SMOC1
1.85607211971014e-46,0.306510057725454,0.807,0.262,4.31035628360287e-42,Alpha,ARX
2.43017340717824e-46,0.633779045545206,0.674,0.165,5.64359170349003e-42,Alpha,DPP4
5.06875220392974e-45,0.643990669333234,0.93,0.498,1.1771163243186e-40,Alpha,TMEM176A
8.68278694059018e-45,0.746206968977823,0.937,0.617,2.01640361121326e-40,Alpha,SLC38A4
1.88388484745788e-42,0.770348798021875,0.987,0.833,4.37494578125144e-38,Alpha,GPX3
1.32437838853857e-41,1.05039807021032,0.827,0.404,3.07560393170313e-37,Alpha,LDHA
1.28772846955305e-40,1.28604619951059,0.897,0.64,2.99049182484305e-36,Alpha,PDK4
8.968176991066e-40,0.633148062270463,0.754,0.277,2.08267974263526e-35,Alpha,SH3RF1
2.05127601318524e-38,0.972443104237444,0.771,0.356,4.76367828542008e-34,Alpha,PLCE1
3.66099362141494e-38,0.273590828032924,0.558,0.121,8.50192548701192e-34,Alpha,LBH
2.04972886049755e-37,0.325212683046656,0.565,0.135,4.76008533273347e-33,Alpha,PPP2R2B
4.57689052581432e-36,0.700352763088652,0.648,0.225,1.06289128680986e-31,Alpha,VIM
1.48113320949914e-35,0.385637453401098,0.748,0.298,3.43963565241984e-31,Alpha,GPC6
3.58241322952355e-35,0.355702274348027,0.764,0.31,8.31943824292254e-31,Alpha,FSTL5
5.10966809426557e-35,0.60461046141981,0.668,0.254,1.18661822153129e-30,Alpha,NPNT
1.10948444612289e-34,0.388295630686528,0.787,0.346,2.57655572923118e-30,Alpha,C19orf77
1.76154141932542e-34,0.4487265268025,1,1,4.09082763809941e-30,Alpha,B2M
2.20040405980836e-34,0.834019124834383,0.924,0.596,5.10999834809295e-30,Alpha,RGS4
3.44178350557389e-34,0.570015077288838,0.917,0.615,7.99285383499424e-30,Alpha,CRYBA2
3.59688962562141e-34,0.425669348979559,0.588,0.171,8.35305677758059e-30,Alpha,PTPRT
4.14873593580992e-34,0.703158148251376,0.997,0.938,9.63460946373138e-30,Alpha,ELL2
6.2285159872115e-34,0.780117459982336,0.987,0.967,1.44644826771013e-29,Alpha,ALDH1A1
1.54536252004445e-33,0.453841949051572,0.841,0.446,3.58879538029922e-29,Alpha,HMGB3
3.7556982736422e-33,0.696134094487397,0.704,0.279,8.72185810087927e-29,Alpha,ARRDC4
6.65679436472755e-32,1.15955837171929,0.741,0.352,1.54590735532068e-27,Alpha,SERPINA1
7.13294964666782e-32,0.450134813151937,0.777,0.367,1.65648489644567e-27,Alpha,MYO10
9.5771467772492e-32,0.532033559196958,0.887,0.506,2.22410079608058e-27,Alpha,KCTD12
3.45174132376139e-31,0.451593665551673,0.561,0.16,8.01597887617107e-27,Alpha,APOH
4.50905679692072e-31,0.471671557745553,0.605,0.2,1.0471382599489e-26,Alpha,SPTSSB
2.13932330223897e-30,0.454998864529097,0.757,0.346,4.96815050478955e-26,Alpha,SERPINE2
4.27030640450001e-30,0.673595986831107,1,1,9.91693256317038e-26,Alpha,CHGB
7.98955616860527e-30,0.278645058109985,0.728,0.312,1.8554146290352e-25,Alpha,PLIN3
1.0333615662995e-29,0.272195414590771,0.827,0.398,2.39977556541733e-25,Alpha,S100A10
9.58633109369225e-29,0.311213608597029,0.475,0.115,2.22623366988815e-24,Alpha,SPOCK3
1.63144848254769e-28,0.684749122813757,0.98,0.788,3.7887128110205e-24,Alpha,PALLD
1.14977218499572e-27,0.582005454085044,0.571,0.196,2.67011594521556e-23,Alpha,TMEM45B
2.34863401453951e-27,0.398453297913775,0.568,0.194,5.45423277196511e-23,Alpha,MBOAT4
2.36440657132948e-27,0.32587278814496,0.631,0.258,5.49086138059845e-23,Alpha,SPC25
6.16808025738596e-27,0.421803729051222,0.455,0.125,1.43241327817274e-22,Alpha,CD36
8.72815118707306e-27,0.311260491114665,0.694,0.288,2.02693855017398e-22,Alpha,TJP2
1.33203878630289e-26,0.377524383171504,0.664,0.3,3.09339367343121e-22,Alpha,FAM84A
1.46477824964131e-26,0.266454865720307,0.85,0.452,3.40165452914201e-22,Alpha,SPATS2L
8.81069931328749e-26,0.358225898492076,0.542,0.188,2.04610870152475e-21,Alpha,GPR119
1.44859827667067e-25,0.330340858174786,0.641,0.277,3.36407977791229e-21,Alpha,NEDD9
3.86613742880401e-24,0.558250297512243,0.96,0.962,8.97833095091156e-20,Alpha,PCSK2
2.81835043382166e-23,0.421713328605368,0.545,0.204,6.54505521246404e-19,Alpha,SPINK1
2.87651406842703e-23,0.391735957357249,0.701,0.35,6.68012862110809e-19,Alpha,ANXA4
3.51048100107246e-23,0.653462775888014,0.495,0.185,8.15239002879057e-19,Alpha,KBTBD10
4.16902836836273e-23,0.251147067458751,0.648,0.273,9.68173457984877e-19,Alpha,SLC7A14
2.01450656880258e-22,0.376822889427553,0.714,0.375,4.67828860473022e-18,Alpha,ITPR1
2.78064165554107e-22,0.433455462885644,0.449,0.154,6.45748411666303e-18,Alpha,PRSS3
4.39580270809363e-22,0.395095136515652,0.997,0.983,1.02083726290058e-17,Alpha,CYSTM1
4.08419679260174e-21,0.326964275605472,0.924,0.638,9.48473021145903e-17,Alpha,A1CF
6.07473617536776e-21,0.362559507046304,0.884,0.625,1.41073598200565e-16,Alpha,SSX2IP
